Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-04,2022-03-05,28.333333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-05,2022-03-06,18.194444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-06,2022-03-07,18.333333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-07,2022-03-08,20.000000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-08,2022-03-09,20.694444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-09,2022-03-10,31.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-10,2022-03-11,29.583333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-11,2022-03-12,23.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-12,2022-03-13,25.000000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-13,2022-03-14,29.166666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-14,2022-03-15,14.305555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-15,2022-03-16,22.222222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-16,2022-03-17,23.750000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-17,2022-03-18,38.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-18,2022-03-19,26.111111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-19,2022-03-20,29.583333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-20,2022-03-21,25.833333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-21,2022-03-22,26.111111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-22,2022-03-23,34.722222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-23,2022-03-24,33.333333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-24,2022-03-25,33.333333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-25,2022-03-26,46.804387000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-26,2022-03-27,36.805555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-27,2022-03-28,31.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-28,2022-03-29,31.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-29,2022-03-30,39.305555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-30,2022-03-31,30.972222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-03-31,2022-04-01,19.166666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-01,2022-04-02,10.416666000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-02,2022-04-03,13.472222000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-03,2022-04-04,12.500000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-04,2022-04-05,16.944444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-05,2022-04-06,10.833333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-06,2022-04-07,6.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-07,2022-04-08,6.111111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-08,2022-04-09,6.527777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-09,2022-04-10,7.361111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-10,2022-04-11,10.138888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-11,2022-04-12,11.111111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-12,2022-04-13,14.027777000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-13,2022-04-14,23.055555000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-14,2022-04-15,23.194444000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-15,2022-04-16,10.833333000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-16,2022-04-17,7.500000000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-17,2022-04-18,8.611111000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
DE/SPO.DE_DEBW013_PM1_dataGroup2,5,2022-04-18,2022-04-19,11.388888000000000000,ug.m-3,day,1,1,2023-06-27 14:13:59,,c2a618d0-e9c5-408e-9277-ef70964eae09
